Project Codes,Issue key,Summary,Status,Resolution,Created,Component/s,Component/s,Component/s
572,ESW-75967,Enforced update process causes device to freeze and reboot when software versions are not secure,Closed,Fixed,11/29/2024 17:00,UI,,
572,ESW-75966,System does not revert to previous software after restart,Closed,Fixed,11/29/2024 16:55,UI,,
572,ESW-75916,Event logs do not capture all scheduled wake-up completions,Closed,Fixed,11/29/2024 16:48,UI,,
572,ESW-75729,Update processes fail on single software package devices,Closed,Fixed,11/28/2024 21:03,UI,,
572,ESW-75697,User interface times out while showing update progress,Closed,Fixed,11/27/2024 15:41,UI,,
572,ESW-75529,Removing accessories or filters during operation does not update user interface animations correctly,Closed,Fixed,11/27/2024 14:59,SC,,
572,ESW-75463,Buffer management function consumes more memory than needed,Closed,Fixed,11/26/2024 18:12,UI,Bootloader,
572,ESW-75036,User interface fails to activate,Closed,Fixed,11/21/2024 17:03,UI,FC_COMMON_BUG,
572,ESW-74996,Reversing changes to task management that caused device communication issues,Closed,Fixed,11/20/2024 14:06,,,
572,ESW-74959,Incorrect display of update notifications and QR codes,Closed,Fixed,11/8/2024 12:52,UI,,
572,ESW-74774,System error occurs during software update from old to new version,Closed,Fixed,11/6/2024 19:00,UI,,
572,ESW-74755,Temperature warnings reappear after starting operation from settings,Closed,Fixed,11/6/2024 10:17,,,
572,ESW-74543,Brief display of incorrect mode when accessory is removed during low battery alert,Closed,Fixed,10/31/2024 15:26,,,
572,ESW-74397,Navigation actions during specific mode cause user interface to display incorrect screen,Closed,Fixed,10/30/2024 19:38,,,
572,ESW-74264,Inactivity timer commands do not function as intended,Closed,Fixed,10/23/2024 18:16,UI,,
572,ESW-74244,Charging indicator briefly appears during update process,Closed,Fixed,10/21/2024 9:45,,,
572,ESW-74179,Unable to retrieve product configuration from memory,Closed,Fixed,10/16/2024 18:54,,,
572,ESW-74140,Progress bar displays incorrect colors on specific screens,Closed,Fixed,10/16/2024 10:54,UI,,
572,ESW-74096,Emulator fails to start due to missing required message files,Closed,Fixed,10/14/2024 15:54,UI,,
572,ESW-74044,Factory software build operates slower than extended configuration build,Closed,Fixed,10/11/2024 14:00,UI,Component ART,
572,ESW-74010,Lacks hardware and software protection for excess current,Closed,Fixed,10/10/2024 18:04,SC,,
572,ESW-74009,Sudden motor movement occurs at every cleaning cycle start,Closed,Fixed,10/9/2024 18:15,UI,Component ART,
572,ESW-73944,Software download fails after reaching maximum retry attempts,Closed,Fixed,10/8/2024 22:13,UI,Component ART,
572,ESW-73932,Over-the-counter update does not function in complete device build,Closed,Fixed,10/8/2024 22:13,,,
572,ESW-73995,Address static code analysis issues in communication component,Closed,Fixed,10/7/2024 22:11,UI,Component ART,
572,ESW-73417,Automated behavior tests fail for UI monitoring tool,Closed,Fixed,10/7/2024 18:13,UI,,
572,ESW-73347,"If requested component does not respond to parameter query, system repeats request after short delay",Closed,Fixed,10/4/2024 20:50,UI,Component ART,
572,ESW-73237,"Download manifest and file completion acknowledged, but update fails due to flash operation timing conflict",Closed,Fixed,10/1/2024 16:26,SC,,
572,ESW-73205,Motor randomly does not start because accessory identification data is invalid,Closed,Fixed,10/1/2024 10:11,UI,,
572,ESW-73096,Automated behavior tests do not execute in continuous integration environment,Closed,Fixed,9/30/2024 17:29,BB,,
572,ESW-73039,Adding filter maintenance during charging disrupted the user connection process,Closed,Fixed,9/30/2024 14:19,BB,,
572,ESW-72997,Software build failed due to repeated parameter definitions,Closed,Fixed,9/26/2024 17:48,UI,,
572,ESW-72932,Stopping cleaning and quickly restarting causes the motor not to operate and status light to blink,Closed,Fixed,9/25/2024 19:28,UI,,
572,ESW-72929,Device disconnects after receiving an invalid identifier response,Closed,Fixed,9/24/2024 23:24,UI,Component ART,
572,ESW-72923,Device receives a unique code after it has already responded to the code request,Closed,Fixed,9/24/2024 9:51,BB,,
572,ESW-72905,Device remains connected if pairing information is sent immediately,Closed,Fixed,9/24/2024 9:44,UI,,
572,ESW-72737,Device information screen displays the wrong software version,Closed,Fixed,9/23/2024 21:47,UI,Component ART,
572,ESW-72714,Extended configuration build experiences issues during resource installation,Closed,Fixed,9/21/2024 0:19,UI,,
791,ESW-72709,Monitoring tool cannot access wireless state information,Closed,Fixed,9/20/2024 0:03,UI,,
791,ESW-72706,Displayed battery level is not rounded up as expected,Closed,Fixed,9/19/2024 17:42,UI,Component ART,
791,ESW-72692,System controller does not provide power to connected modules after frequent start/stop events,Closed,Fixed,9/19/2024 17:14,UI,,
791,ESW-72699,Test video does not include the reference pattern,Closed,Fixed,9/19/2024 17:07,UI,,
791,ESW-72695,Starting a new operation after a failed previous one shows feedback instead of introduction,Closed,Fixed,9/19/2024 14:14,UI,,
791,ESW-72632,Restarting power during operation and changing mode causes feedback screen rather than introduction,Closed,Fixed,9/19/2024 13:56,UI,,
791,ESW-72627,Restore previously removed service token request in protocol definitions,Closed,Fixed,9/19/2024 13:45,UI,,
791,ESW-72597,No data received from the device after operating for several minutes,Closed,Fixed,9/18/2024 17:28,UI,,
791,ESW-72557,"Product details display incorrect information, causing over-the-counter update failure in development",Closed,Fixed,9/18/2024 16:43,UI,,
791,ESW-72522,Monitoring tool reports unusual errors during software update,Closed,Fixed,9/17/2024 18:16,UI,,
791,ESW-72512,Full system becomes unresponsive at startup and may stay in charging mode if started that way,Closed,Fixed,9/17/2024 13:57,UI,,
791,ESW-72510,System does not forward power adjustment to input component,Closed,Fixed,9/16/2024 17:33,UI,,
791,ESW-72507,"Emulator fails to start, and hardware doesn't boot after multiple resets",Closed,Fixed,9/16/2024 14:42,UI,,
791,ESW-72445,Loader progress display is shown with incorrect layout,Closed,Fixed,9/16/2024 14:33,UI,,
791,ESW-72426,Version file creation is incorrect because of leading zeros in version field,Closed,Fixed,9/16/2024 14:16,UI,,
791,ESW-72407,Manual override to turn off power type is not functioning,Closed,Fixed,9/13/2024 16:00,SC,,
791,ESW-72400,User interface does not show information during communication with certain software builds,Closed,Fixed,9/13/2024 9:41,UI,,
791,ESW-72352,Data type mismatch occurs in specific configuration data,Closed,Fixed,9/12/2024 16:04,UI,Component ART,
791,ESW-72279,Status check for certain hardware reset does not operate in management tool,Closed,Fixed,9/12/2024 14:45,UI,,
791,ESW-72237,Inhibit and reset actions always result in errors on specific circuit board,Closed,Fixed,9/11/2024 14:49,UI,,
791,ESW-72171,Emulator does not send shutdown and low power instructions,Closed,Fixed,9/9/2024 17:42,,,
791,ESW-72170,Reset event does not occur in specific emulator systems,Closed,Fixed,9/9/2024 11:34,UI,,
791,ESW-72160,Unexpected error occurs when changing power state or beginning operation,Closed,Fixed,9/6/2024 22:07,BB,,
791,ESW-72125,Repair system rerouting feature to support switching communication ports,Closed,Fixed,9/6/2024 20:24,UI,,
791,ESW-72114,Hardware revision register problem causes bootloader test failure,Closed,Fixed,9/6/2024 18:36,UI,Component ART,
